Date,Country,TEKs,Cases
2020-10-23,ie,20408,1054
2020-10-23,it,19482,16078
2020-10-23,lv,4522,161
2020-10-23,nl,1732,9310
2020-10-23,pl,1567,12107
2020-10-24,at,2004,2571
2020-10-24,cz,8391,15258
2020-10-24,de,6227,22236
2020-10-24,ee,27,53
2020-10-24,es,19795,19851
2020-10-24,fi,315,219
2020-10-24,hu,1,2066
2020-10-24,ie,19449,785
2020-10-24,it,18668,19143
2020-10-24,lv,4636,250
2020-10-24,nl,2112,10029
2020-10-24,pl,1567,13632
2020-10-24,pt,430,2899
2020-10-25,at,2230,3614
2020-10-25,cz,8464,12474
2020-10-25,de,6312,8688
2020-10-25,ee,30,51
2020-10-25,es,19461,0
2020-10-25,fi,322,178
2020-10-25,hu,1,1820
2020-10-25,ie,18869,847
2020-10-25,it,18163,19640
2020-10-25,lv,4691,259
2020-10-25,nl,1826,8683
2020-10-25,pl,1517,13628
2020-10-26,at,2333,2782
2020-10-26,cz,7742,7300
2020-10-26,de,6492,2900
2020-10-26,ee,34,60
2020-10-26,es,19010,0
2020-10-26,fi,329,196
2020-10-26,hu,1,3149
2020-10-26,ie,18191,1020
2020-10-26,it,17573,21273
2020-10-26,lv,4751,211
2020-10-26,nl,2032,10237
2020-10-26,pl,1499,11742
2020-10-26,pt,430,2577
2020-10-27,at,1923,2456
2020-10-27,ch,6685,17441
2020-10-27,cz,7207,10273
2020-10-27,de,6645,12560
2020-10-27,ee,33,17
2020-10-27,es,17872,52188
2020-10-27,fi,312,122
2020-10-27,hu,2,2316
2020-10-27,ie,16856,939
2020-10-27,it,16351,17007
2020-10-27,lv,4791,79
2020-10-27,nl,1743,10365
2020-10-27,pl,1383,10241
2020-10-28,at,1793,2835
2020-10-28,ch,6522,5950
2020-10-28,cz,6300,15663
2020-10-28,de,6857,13161
2020-10-28,ee,36,37
2020-10-28,es,16390,18418
2020-10-28,fi,296,193
2020-10-28,hu,1,2079
2020-10-28,ie,15208,700
2020-10-28,it,14833,21989
2020-10-28,lv,4904,136
2020-10-28,nl,1175,10321
2020-10-28,pl,1098,16300
2020-10-29,at,1586,3394
2020-10-29,ch,6165,8620
2020-10-29,cz,4768,12980
2020-10-29,de,7079,23553
2020-10-29,ee,36,125
2020-10-29,es,14426,19765
2020-10-29,fi,274,215
2020-10-29,hu,1,2291
2020-10-29,ie,13335,667
2020-10-29,it,13080,24988
2020-10-29,lv,4924,251
2020-10-29,mt,143,75
2020-10-29,nl,704,8156
2020-10-29,pl,1076,18820
2020-10-29,pt,376,3960
2020-10-30,at,1354,4453
2020-10-30,ch,5759,9390
2020-10-30,cz,3731,13055
2020-10-30,de,7397,11382
2020-10-30,ee,39,81
2020-10-30,es,12409,23580
2020-10-30,fi,241,188
2020-10-30,hu,1,2194
2020-10-30,ie,11437,863
2020-10-30,it,11224,26829
2020-10-30,lv,4877,251
2020-10-30,nl,365,10318
2020-10-30,pl,926,20156
2020-10-30,pt,344,4224
2020-10-31,at,1174,5627
2020-10-31,ch,5341,9208
2020-10-31,cz,3766,13605
2020-10-31,de,7537,19382
2020-10-31,ee,40,100
2020-10-31,es,10614,25595
2020-10-31,fi,229,344
2020-10-31,hu,1,3286
2020-10-31,ie,9783,762
2020-10-31,it,9595,31079
2020-10-31,lv,4684,284
2020-10-31,mt,131,76
2020-10-31,nl,467,11172
2020-10-31,pl,723,21629
2020-11-01,at,760,5349
2020-11-01,ch,4878,1
2020-11-01,cz,3083,11429
2020-11-01,de,7612,14054
2020-11-01,ee,44,134
2020-11-01,es,9265,0
2020-11-01,fi,197,203
2020-11-01,hu,1,3908
2020-11-01,ie,8515,397
2020-11-01,it,8375,31756
2020-11-01,lv,4400,215
2020-11-01,nl,350,9839
2020-11-01,pl,1561,21897
2020-11-01,pt,289,4007
2020-11-02,at,590,4956
2020-11-02,ch,4220,1
2020-11-02,cz,2642,6542
2020-11-02,de,6430,20270
2020-11-02,ee,34,80
2020-11-02,es,8059,0
2020-11-02,fi,167,178
2020-11-02,hu,1,3878
2020-11-02,ie,7383,546
2020-11-02,it,7292,29905
2020-11-02,lv,3879,242
2020-11-02,nl,328,8711
2020-11-02,pl,456,17171
2020-11-02,pt,228,3062
2020-11-03,at,572,4135
2020-11-03,ch,3271,21928
2020-11-03,cz,1981,9252
2020-11-03,de,4481,17538
2020-11-03,ee,28,61
2020-11-03,es,6077,55019
2020-11-03,fi,114,109
2020-11-03,ie,5479,748
2020-11-03,it,5446,22253
2020-11-03,lv,2826,132
2020-11-03,mt,119,218
2020-11-03,nl,35,8312
2020-11-03,pl,386,15578
2020-11-03,pt,178,2506
2020-11-04,at,350,4182
2020-11-04,cz,1159,12089
2020-11-04,de,2842,7533
2020-11-04,ee,24,79
2020-11-04,es,3353,18669
2020-11-04,fi,58,237
2020-11-04,ie,2860,298
2020-11-04,it,2888,28241
2020-11-04,lv,1285,171
2020-11-04,nl,41,7777
2020-11-04,pl,198,19364
2020-11-05,at,49,6901
2020-11-05,ch,963,10075
2020-11-05,de,100,31480
2020-11-05,ee,12,208
2020-11-05,es,325,25042
2020-11-05,ie,76,435
2020-11-05,it,126,30548
2020-11-05,lv,22,313
2020-11-05,nl,96,7680
2020-11-06,es,18,0
2020-11-06,ie,1,0
2020-11-06,it,1,0
